"fish_id","mother","father"
"20191217_Plate2_11B","Z2622_F30","Z2622_M1"
"20191217_Plate2_11C","Z2622_F30","Z2622_M1"
"20191217_Plate2_11D","Z2622_F30","Z2622_M1"
"20191217_Plate2_11E","Z2622_F30","Z2622_M1"
"20191217_Plate2_11F","Z2622_F30","Z2622_M1"
"20191217_Plate2_11G","Z2622_F30","Z2622_M1"
"20191217_Plate2_11H","Z2622_F30","Z2622_M1"
"20191217_Plate2_12A","Z2622_F4","Z2622_M5"
"20191217_Plate2_12B","Z2622_F4","Z2622_M5"
"20191217_Plate2_12C","Z2622_F4","Z2622_M5"
"20191217_Plate2_12D","Z2622_F4","Z2622_M5"
"20200114_Plate1_1A","Z2622_F1","Z2622_M3"
"20200114_Plate1_1B","Z2622_F1","Z2622_M3"
"20200114_Plate1_1C","Z2622_F1","Z2622_M3"
"20200114_Plate1_1D","Z2622_F1","Z2622_M3"
"20200114_Plate1_1E","Z2622_F1","Z2622_M3"
"20200114_Plate1_1F","Z2622_F1","Z2622_M3"
"20200114_Plate1_1G","Z2622_F1","Z2622_M3"
"20200114_Plate1_1H","Z2622_F1","Z2622_M3"
"20200114_Plate1_2A","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2B","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2C","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2D","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2E","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2F","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2G","Z2622_F2a","Z2622_M4"
"20200114_Plate1_2H","Z2622_F2a","Z2622_M4"
"20200114_Plate1_3A","Z2622_F4","Z2622_M6"
"20200114_Plate1_3B","Z2622_F4","Z2622_M6"
"20200114_Plate1_3C","Z2622_F4","Z2622_M6"
"20200114_Plate1_3D","Z2622_F4","Z2622_M6"
"20200114_Plate1_3E","Z2622_F4","Z2622_M6"
"20200114_Plate1_3F","Z2622_F4","Z2622_M6"
"20200114_Plate1_3G","Z2622_F4","Z2622_M6"
"20200114_Plate1_3H","Z2622_F4","Z2622_M6"
"20200114_Plate1_4A","Z2622_F5","Z2622_M7"
"20200114_Plate1_4B","Z2622_F5","Z2622_M7"
"20200114_Plate1_4C","Z2622_F5","Z2622_M7"
"20200114_Plate1_4D","Z2622_F5","Z2622_M7"
"20200114_Plate1_4E","Z2622_F5","Z2622_M7"
"20200114_Plate1_4F","Z2622_F5","Z2622_M7"
"20200114_Plate1_4G","Z2622_F5","Z2622_M7"
"20200114_Plate1_4H","Z2622_F5","Z2622_M7"
"20200114_Plate1_5A","Z2622_F6","Z2622_M8"
"20200114_Plate1_5B","Z2622_F6","Z2622_M8"
"20200114_Plate1_5C","Z2622_F6","Z2622_M8"
"20200114_Plate1_5D","Z2622_F6","Z2622_M8"
"20200114_Plate1_5E","Z2622_F6","Z2622_M8"
"20200114_Plate1_5F","Z2622_F6","Z2622_M8"
"20200114_Plate1_5G","Z2622_F6","Z2622_M8"
"20200114_Plate1_5H","Z2622_F6","Z2622_M8"
"20200114_Plate1_6A","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6B","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6C","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6D","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6E","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6F","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6G","Z2622_F7","Z2622_M9a"
"20200114_Plate1_6H","Z2622_F7","Z2622_M9a"
"20200114_Plate1_7A","Z2622_F8","Z2622_M10"
"20200114_Plate1_7B","Z2622_F8","Z2622_M10"
"20200114_Plate1_7C","Z2622_F8","Z2622_M10"
"20200114_Plate1_7D","Z2622_F8","Z2622_M10"
"20200114_Plate1_7E","Z2622_F8","Z2622_M10"
"20200114_Plate1_7F","Z2622_F8","Z2622_M10"
"20200114_Plate1_7G","Z2622_F8","Z2622_M10"
"20200114_Plate1_7H","Z2622_F8","Z2622_M10"
"20200114_Plate1_8A","Z2622_F10","Z2622_M12"
"20200114_Plate1_8B","Z2622_F10","Z2622_M12"
"20200114_Plate1_8C","Z2622_F10","Z2622_M12"
"20200114_Plate1_8D","Z2622_F10","Z2622_M12"
"20200114_Plate1_8E","Z2622_F10","Z2622_M12"
"20200114_Plate1_8F","Z2622_F10","Z2622_M12"
"20200114_Plate1_8G","Z2622_F10","Z2622_M12"
"20200114_Plate1_8H","Z2622_F10","Z2622_M12"
"20200114_Plate1_9A","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9B","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9C","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9D","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9E","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9F","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9G","Z2622_F12","Z2622_M14a"
"20200114_Plate1_9H","Z2622_F12","Z2622_M14a"
"20200114_Plate1_10A","Z2622_F13","Z2622_M15"
"20200114_Plate1_10B","Z2622_F13","Z2622_M15"
"20200114_Plate1_10C","Z2622_F13","Z2622_M15"
"20200114_Plate1_10D","Z2622_F13","Z2622_M15"
"20200114_Plate1_10E","Z2622_F13","Z2622_M15"
"20200114_Plate1_10F","Z2622_F13","Z2622_M15"
"20200114_Plate1_10G","Z2622_F13","Z2622_M15"
"20200114_Plate1_10H","Z2622_F13","Z2622_M15"
"20200114_Plate1_11A","Z2622_F14","Z2622_M16"
"20200114_Plate1_11B","Z2622_F14","Z2622_M16"
"20200114_Plate1_11C","Z2622_F14","Z2622_M16"
"20200114_Plate1_11D","Z2622_F14","Z2622_M16"
"20200114_Plate1_11E","Z2622_F14","Z2622_M16"
"20200114_Plate1_11F","Z2622_F14","Z2622_M16"
"20200114_Plate1_11G","Z2622_F14","Z2622_M16"
"20200114_Plate1_11H","Z2622_F14","Z2622_M16"
"20200114_Plate1_12A","Z2622_F17","Z2622_M19"
"20200114_Plate1_12B","Z2622_F17","Z2622_M19"
"20200114_Plate1_12C","Z2622_F17","Z2622_M19"
"20200114_Plate1_12D","Z2622_F17","Z2622_M19"
"20200114_Plate1_12E","Z2622_F17","Z2622_M19"
"20200114_Plate1_12F","Z2622_F17","Z2622_M19"
"20200114_Plate2_1A","Z2622_F17","Z2622_M19"
"20200114_Plate2_1B","Z2622_F17","Z2622_M19"
"20200114_Plate2_1C","Z2622_F18","Z2622_M20"
"20200114_Plate2_1D","Z2622_F18","Z2622_M20"
"20200114_Plate2_1E","Z2622_F18","Z2622_M20"
"20200114_Plate2_1F","Z2622_F18","Z2622_M20"
"20200114_Plate2_1G","Z2622_F18","Z2622_M20"
"20200114_Plate2_1H","Z2622_F18","Z2622_M20"
"20200114_Plate2_2A","Z2622_F18","Z2622_M20"
"20200114_Plate2_2B","Z2622_F18","Z2622_M20"
"20200114_Plate2_2C","Z2622_F19","Z2622_M21"
"20200114_Plate2_2D","Z2622_F19","Z2622_M21"
"20200114_Plate2_2E","Z2622_F19","Z2622_M21"
"20200114_Plate2_2F","Z2622_F19","Z2622_M21"
"20200114_Plate2_2G","Z2622_F19","Z2622_M21"
"20200114_Plate2_2H","Z2622_F19","Z2622_M21"
"20200114_Plate2_3A","Z2622_F19","Z2622_M21"
"20200114_Plate2_3B","Z2622_F19","Z2622_M21"
"20200114_Plate2_3C","Z2622_F24","Z2622_M26a"
"20200114_Plate2_3D","Z2622_F24","Z2622_M26a"
"20200114_Plate2_3E","Z2622_F24","Z2622_M26a"
"20200114_Plate2_3F","Z2622_F24","Z2622_M26a"
"20200114_Plate2_3G","Z2622_F24","Z2622_M26a"
"20200114_Plate2_3H","Z2622_F24","Z2622_M26a"
"20200114_Plate2_4A","Z2622_F24","Z2622_M26a"
"20200114_Plate2_4B","Z2622_F24","Z2622_M26a"
"20200114_Plate2_4C","Z2622_F25","Z2622_M27"
"20200114_Plate2_4D","Z2622_F25","Z2622_M27"
"20200114_Plate2_4E","Z2622_F25","Z2622_M27"
"20200114_Plate2_4F","Z2622_F25","Z2622_M27"
"20200114_Plate2_4G","Z2622_F25","Z2622_M27"
"20200114_Plate2_4H","Z2622_F25","Z2622_M27"
"20200114_Plate2_5A","Z2622_F25","Z2622_M27"
"20200114_Plate2_5B","Z2622_F25","Z2622_M27"
"20200114_Plate2_5C","Z2622_F26","Z2622_M28"
"20200114_Plate2_5D","Z2622_F26","Z2622_M28"
"20200114_Plate2_5E","Z2622_F26","Z2622_M28"
"20200114_Plate2_5F","Z2622_F26","Z2622_M28"
"20200114_Plate2_5G","Z2622_F26","Z2622_M28"
"20200114_Plate2_5H","Z2622_F26","Z2622_M28"
"20200114_Plate2_6A","Z2622_F26","Z2622_M28"
"20200114_Plate2_6B","Z2622_F26","Z2622_M28"
"20200114_Plate2_6C","Z2622_F27","Z2622_M29"
"20200114_Plate2_6D","Z2622_F27","Z2622_M29"
"20200114_Plate2_6E","Z2622_F27","Z2622_M29"
"20200114_Plate2_6F","Z2622_F27","Z2622_M29"
"20200114_Plate2_6G","Z2622_F27","Z2622_M29"
"20200114_Plate2_6H","Z2622_F27","Z2622_M29"
"20200114_Plate2_7A","Z2622_F27","Z2622_M29"
"20200114_Plate2_7B","Z2622_F27","Z2622_M29"
"20200114_Plate2_7C","Z2622_F28","Z2622_M30"
"20200114_Plate2_7D","Z2622_F28","Z2622_M30"
"20200114_Plate2_7E","Z2622_F28","Z2622_M30"
"20200114_Plate2_7F","Z2622_F28","Z2622_M30"
"20200114_Plate2_7G","Z2622_F28","Z2622_M30"
"20200114_Plate2_7H","Z2622_F28","Z2622_M30"
"20200114_Plate2_8A","Z2622_F29","Z2622_M31"
"20200114_Plate2_8B","Z2622_F29","Z2622_M31"
"20200114_Plate2_8C","Z2622_F29","Z2622_M31"
"20200114_Plate2_8D","Z2622_F29","Z2622_M31"
"20200114_Plate2_8E","Z2622_F29","Z2622_M31"
"20200114_Plate2_8F","Z2622_F29","Z2622_M31"
"20200114_Plate2_8G","Z2622_F29","Z2622_M31"
"20200114_Plate2_8H","Z2622_F29","Z2622_M31"
"20200114_Plate2_9A","Z2622_F29","Z2622_M31"
"20200114_Plate2_9B","Z2622_F29","Z2622_M31"
"20200114_Plate2_9C","Z2622_F35","Z2622_M37"
"20200114_Plate2_9D","Z2622_F35","Z2622_M37"
"20200114_Plate2_9E","Z2622_F35","Z2622_M37"
"20200114_Plate2_9F","Z2622_F35","Z2622_M37"
"20200114_Plate2_9G","Z2622_F35","Z2622_M37"
"20200114_Plate2_9H","Z2622_F35","Z2622_M37"
"20200114_Plate2_10A","Z2622_F35","Z2622_M37"
"20200114_Plate2_10B","Z2622_F35","Z2622_M37"
"20200114_Plate2_10C","Z2622_F35","Z2622_M37"
"20200114_Plate2_10D","Z2622_F37","Z2622_M39"
"20200114_Plate2_10E","Z2622_F37","Z2622_M39"
"20200114_Plate2_10F","Z2622_F37","Z2622_M39"
"20200114_Plate2_10G","Z2622_F37","Z2622_M39"
"20200114_Plate2_10H","Z2622_F37","Z2622_M39"
"20200114_Plate2_11A","Z2622_F37","Z2622_M39"
"20200114_Plate2_11B","Z2622_F37","Z2622_M39"
"20200114_Plate2_11C","Z2622_F38","Z2622_M40"
"20200114_Plate2_11D","Z2622_F38","Z2622_M40"
"20200114_Plate2_11E","Z2622_F38","Z2622_M40"
"20200114_Plate2_11F","Z2622_F38","Z2622_M40"
"20200114_Plate2_11G","Z2622_F38","Z2622_M40"
"20200114_Plate2_11H","Z2622_F38","Z2622_M40"
"20200114_Plate2_12A","Z2622_F38","Z2622_M40"
"20200114_Plate2_12B","Z2622_F38","Z2622_M40"
"20200114_Plate2_12C","Z2622_F38","Z2622_M40"
"20200114_Plate2_12D","Z2622_F38","Z2622_M40"
"20200114_Plate2_12E","Z2622_F38","Z2622_M40"
"20200114_Plate2_12F","Z2622_F9","Z2622_M11"
"20200121_Plate1_1A","Z2622_F1","Z2622_M4"
"20200121_Plate1_1B","Z2622_F1","Z2622_M4"
"20200121_Plate1_1C","Z2622_F1","Z2622_M4"
"20200121_Plate1_1D","Z2622_F1","Z2622_M4"
"20200121_Plate1_1E","Z2622_F1","Z2622_M4"
"20200121_Plate1_1F","Z2622_F1","Z2622_M4"
"20200121_Plate1_1G","Z2622_F1","Z2622_M4"
"20200121_Plate1_1H","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2A","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2B","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2C","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2D","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2E","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2F","Z2627_F3a","Z2622_M6"
"20200121_Plate1_2G","Z2622_F5","Z2622_M8"
"20200121_Plate1_2H","Z2622_F5","Z2622_M8"
"20200121_Plate1_3A","Z2622_F5","Z2622_M8"
"20200121_Plate1_3B","Z2622_F5","Z2622_M8"
"20200121_Plate1_3C","Z2622_F5","Z2622_M8"
"20200121_Plate1_3D","Z2622_F5","Z2622_M8"
"20200121_Plate1_3E","Z2622_F5","Z2622_M8"
"20200121_Plate1_3F","Z2622_F6","Z2622_M9a"
"20200121_Plate1_3G","Z2622_F6","Z2622_M9a"
"20200121_Plate1_3H","Z2622_F6","Z2622_M9a"
"20200121_Plate1_4A","Z2622_F6","Z2622_M9a"
"20200121_Plate1_4B","Z2622_F6","Z2622_M9a"
"20200121_Plate1_4C","Z2622_F6","Z2622_M9a"
"20200121_Plate1_4D","Z2622_F6","Z2622_M9a"
"20200121_Plate1_4E","Z2622_F7","Z2622_M10"
"20200121_Plate1_4F","Z2622_F7","Z2622_M10"
"20200121_Plate1_4G","Z2622_F7","Z2622_M10"
"20200121_Plate1_4H","Z2622_F7","Z2622_M10"
"20200121_Plate1_5A","Z2622_F7","Z2622_M10"
"20200121_Plate1_5B","Z2622_F7","Z2622_M10"
"20200121_Plate1_5C","Z2622_F7","Z2622_M10"
"20200121_Plate1_5D","Z2622_F8","Z2622_M11"
"20200121_Plate1_5E","Z2622_F8","Z2622_M11"
"20200121_Plate1_5F","Z2622_F8","Z2622_M11"
"20200121_Plate1_5G","Z2622_F8","Z2622_M11"
"20200121_Plate1_5H","Z2622_F8","Z2622_M11"
"20200121_Plate1_6A","Z2622_F8","Z2622_M11"
"20200121_Plate1_6B","Z2622_F8","Z2622_M11"
"20200121_Plate1_6C","Z2622_F10","Z2622_M13b"
"20200121_Plate1_6D","Z2622_F10","Z2622_M13b"
"20200121_Plate1_6E","Z2622_F10","Z2622_M13b"
"20200121_Plate1_6F","Z2622_F10","Z2622_M13b"
"20200121_Plate1_6G","Z2622_F10","Z2622_M13b"
"20200121_Plate1_6H","Z2622_F10","Z2622_M13b"
"20200121_Plate1_7A","Z2622_F10","Z2622_M13b"
"20200121_Plate1_7B","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7C","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7D","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7E","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7F","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7G","Z2622_F11","Z2622_M14a"
"20200121_Plate1_7H","Z2622_F11","Z2622_M14a"
"20200121_Plate1_8A","Z2622_F12","Z2622_M15"
"20200121_Plate1_8B","Z2622_F12","Z2622_M15"
"20200121_Plate1_8C","Z2622_F12","Z2622_M15"
"20200121_Plate1_8D","Z2622_F12","Z2622_M15"
"20200121_Plate1_8E","Z2622_F12","Z2622_M15"
"20200121_Plate1_8F","Z2622_F12","Z2622_M15"
"20200121_Plate1_8G","Z2622_F12","Z2622_M15"
"20200121_Plate1_8H","Z2622_F13","Z2622_M16"
"20200121_Plate1_9A","Z2622_F13","Z2622_M16"
"20200121_Plate1_9B","Z2622_F13","Z2622_M16"
"20200121_Plate1_9C","Z2622_F13","Z2622_M16"
"20200121_Plate1_9D","Z2622_F13","Z2622_M16"
"20200121_Plate1_9E","Z2622_F13","Z2622_M16"
"20200121_Plate1_9F","Z2622_F13","Z2622_M16"
"20200121_Plate1_9G","Z2622_F15","Z2622_M18"
"20200121_Plate1_9H","Z2622_F15","Z2622_M18"
"20200121_Plate1_10A","Z2622_F15","Z2622_M18"
"20200121_Plate1_10B","Z2622_F15","Z2622_M18"
"20200121_Plate1_10C","Z2622_F15","Z2622_M18"
"20200121_Plate1_10D","Z2622_F15","Z2622_M18"
"20200121_Plate1_10E","Z2622_F15","Z2622_M18"
"20200121_Plate1_10F","Z2622_F16","Z2622_M19"
"20200121_Plate1_10G","Z2622_F16","Z2622_M19"
"20200121_Plate1_10H","Z2622_F16","Z2622_M19"
"20200121_Plate1_11A","Z2622_F16","Z2622_M19"
"20200121_Plate1_11B","Z2622_F16","Z2622_M19"
"20200121_Plate1_11C","Z2622_F16","Z2622_M19"
"20200121_Plate1_11D","Z2622_F16","Z2622_M19"
"20200121_Plate1_11E","Z2622_F17","Z2622_M20"
"20200121_Plate1_11F","Z2622_F17","Z2622_M20"
"20200121_Plate1_11G","Z2622_F17","Z2622_M20"
"20200121_Plate1_11H","Z2622_F17","Z2622_M20"
"20200121_Plate1_12A","Z2622_F17","Z2622_M20"
"20200121_Plate1_12B","Z2622_F17","Z2622_M20"
"20200121_Plate1_12C","Z2622_F17","Z2622_M20"
"20200121_Plate1_12D","Z2622_F18","Z2622_M21"
"20200121_Plate1_12E","Z2622_F18","Z2622_M21"
"20200121_Plate1_12F","Z2622_F18","Z2622_M21"
"20200121_Plate2_1A","Z2622_F18","Z2622_M21"
"20200121_Plate2_1B","Z2622_F18","Z2622_M21"
"20200121_Plate2_1C","Z2622_F18","Z2622_M21"
"20200121_Plate2_1D","Z2622_F20","Z2622_M23a"
"20200121_Plate2_1E","Z2622_F20","Z2622_M23a"
"20200121_Plate2_1F","Z2622_F20","Z2622_M23a"
"20200121_Plate2_1G","Z2622_F20","Z2622_M23a"
"20200121_Plate2_1H","Z2622_F20","Z2622_M23a"
"20200121_Plate2_2A","Z2622_F20","Z2622_M23a"
"20200121_Plate2_2B","Z2622_F20","Z2622_M23a"
"20200121_Plate2_2C","Z2622_F22","Z2622_M25"
"20200121_Plate2_2D","Z2622_F22","Z2622_M25"
"20200121_Plate2_2E","Z2622_F22","Z2622_M25"
"20200121_Plate2_2F","Z2622_F22","Z2622_M25"
"20200121_Plate2_2G","Z2622_F22","Z2622_M25"
"20200121_Plate2_2H","Z2622_F22","Z2622_M25"
"20200121_Plate2_3A","Z2622_F22","Z2622_M25"
"20200121_Plate2_3B","Z2622_F24","Z2622_M27"
"20200121_Plate2_3C","Z2622_F24","Z2622_M27"
"20200121_Plate2_3D","Z2622_F24","Z2622_M27"
"20200121_Plate2_3E","Z2622_F24","Z2622_M27"
"20200121_Plate2_3F","Z2622_F24","Z2622_M27"
"20200121_Plate2_3G","Z2622_F24","Z2622_M27"
"20200121_Plate2_3H","Z2622_F24","Z2622_M27"
"20200121_Plate2_4A","Z2622_F25","Z2622_M28"
"20200121_Plate2_4B","Z2622_F25","Z2622_M28"
"20200121_Plate2_4C","Z2622_F25","Z2622_M28"
"20200121_Plate2_4D","Z2622_F25","Z2622_M28"
"20200121_Plate2_4E","Z2622_F25","Z2622_M28"
"20200121_Plate2_4F","Z2622_F25","Z2622_M28"
"20200121_Plate2_4G","Z2622_F25","Z2622_M28"
"20200121_Plate2_4H","Z2622_F25","Z2622_M28"
"20200121_Plate2_5A","Z2622_F26","Z2622_M29"
"20200121_Plate2_5B","Z2622_F26","Z2622_M29"
"20200121_Plate2_5C","Z2622_F26","Z2622_M29"
"20200121_Plate2_5D","Z2622_F26","Z2622_M29"
"20200121_Plate2_5E","Z2622_F26","Z2622_M29"
"20200121_Plate2_5F","Z2622_F26","Z2622_M29"
"20200121_Plate2_5G","Z2622_F26","Z2622_M29"
"20200121_Plate2_5H","Z2622_F26","Z2622_M29"
"20200121_Plate2_6A","Z2622_F28","Z2622_M31"
"20200121_Plate2_6B","Z2622_F28","Z2622_M31"
"20200121_Plate2_6C","Z2622_F28","Z2622_M31"
"20200121_Plate2_6D","Z2622_F28","Z2622_M31"
"20200121_Plate2_6E","Z2622_F28","Z2622_M31"
"20200121_Plate2_6F","Z2622_F28","Z2622_M31"
"20200121_Plate2_6G","Z2622_F28","Z2622_M31"
"20200121_Plate2_6H","Z2622_F28","Z2622_M31"
"20200121_Plate2_7A","Z2622_F32","Z2622_M35"
"20200121_Plate2_7B","Z2622_F32","Z2622_M35"
"20200121_Plate2_7C","Z2622_F32","Z2622_M35"
"20200121_Plate2_7D","Z2622_F32","Z2622_M35"
"20200121_Plate2_7E","Z2622_F32","Z2622_M35"
"20200121_Plate2_7F","Z2622_F32","Z2622_M35"
"20200121_Plate2_7G","Z2622_F32","Z2622_M35"
"20200121_Plate2_7H","Z2622_F32","Z2622_M35"
"20200121_Plate2_8A","Z2622_F35","Z2622_M38"
"20200121_Plate2_8B","Z2622_F35","Z2622_M38"
"20200121_Plate2_8C","Z2622_F35","Z2622_M38"
"20200121_Plate2_8D","Z2622_F35","Z2622_M38"
"20200121_Plate2_8E","Z2622_F35","Z2622_M38"
"20200121_Plate2_8F","Z2622_F35","Z2622_M38"
"20200121_Plate2_8G","Z2622_F35","Z2622_M38"
"20200121_Plate2_8H","Z2622_F35","Z2622_M38"
"20200121_Plate2_9A","Z2622_F36","Z2622_M39"
"20200121_Plate2_9B","Z2622_F36","Z2622_M39"
"20200121_Plate2_9C","Z2622_F36","Z2622_M39"
"20200121_Plate2_9D","Z2622_F36","Z2622_M39"
"20200121_Plate2_9E","Z2622_F36","Z2622_M39"
"20200121_Plate2_9F","Z2622_F36","Z2622_M39"
"20200121_Plate2_9G","Z2622_F36","Z2622_M39"
"20200121_Plate2_9H","Z2622_F36","Z2622_M39"
"20200121_Plate2_10A","Z2622_F37","Z2622_M40"
"20200121_Plate2_10B","Z2622_F37","Z2622_M40"
"20200121_Plate2_10C","Z2622_F37","Z2622_M40"
"20200121_Plate2_10D","Z2622_F37","Z2622_M40"
"20200121_Plate2_10E","Z2622_F37","Z2622_M40"
"20200121_Plate2_10F","Z2622_F37","Z2622_M40"
"20200121_Plate2_10G","Z2622_F37","Z2622_M40"
"20200121_Plate2_10H","Z2622_F37","Z2622_M40"
"20200121_Plate2_11A","Z2622_F38","Z2622_M1"
"20200121_Plate2_11B","Z2622_F38","Z2622_M1"
"20200121_Plate2_11C","Z2622_F38","Z2622_M1"
"20200121_Plate2_11D","Z2622_F38","Z2622_M1"
"20200121_Plate2_11E","Z2622_F38","Z2622_M1"
"20200121_Plate2_11F","Z2622_F38","Z2622_M1"
"20200121_Plate2_11G","Z2622_F38","Z2622_M1"
"20200121_Plate2_11H","Z2622_F40","Z2622_M3"
"20200121_Plate2_12A","Z2622_F40","Z2622_M3"
"20200121_Plate2_12B","Z2622_F40","Z2622_M3"
"20200121_Plate2_12C","Z2622_F40","Z2622_M3"
"20200121_Plate2_12D","Z2622_F40","Z2622_M3"
"20200121_Plate2_12E","Z2622_F40","Z2622_M3"
"20200121_Plate2_12F","Z2622_F40","Z2622_M3"
"20200128_Plate1_1A","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1B","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1C","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1D","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1E","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1F","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1G","Z2622_F2a","Z2622_M6"
"20200128_Plate1_1H","Z2622_F2a","Z2622_M6"
"20200128_Plate1_2A","Z2622_F2a","Z2622_M6"
"20200128_Plate1_2B","Z2622_F2a","Z2622_M6"
"20200128_Plate1_2C","Z2622_F2a","Z2622_M6"
"20200128_Plate1_2D","Z2622_F4","Z2622_M8"
"20200128_Plate1_2E","Z2622_F4","Z2622_M8"
"20200128_Plate1_2F","Z2622_F4","Z2622_M8"
"20200128_Plate1_2G","Z2622_F4","Z2622_M8"
"20200128_Plate1_2H","Z2622_F4","Z2622_M8"
"20200128_Plate1_3A","Z2622_F4","Z2622_M8"
"20200128_Plate1_3B","Z2622_F4","Z2622_M8"
"20200128_Plate1_3C","Z2622_F4","Z2622_M8"
"20200128_Plate1_3D","Z2622_F4","Z2622_M8"
"20200128_Plate1_3E","Z2622_F4","Z2622_M8"
"20200128_Plate1_3F","Z2622_F4","Z2622_M8"
"20200128_Plate1_3G","Z2622_F5","Z2622_M9a"
"20200128_Plate1_3H","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4A","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4B","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4C","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4D","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4E","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4F","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4G","Z2622_F5","Z2622_M9a"
"20200128_Plate1_4H","Z2622_F5","Z2622_M9a"
"20200128_Plate1_5A","Z2622_F6","Z2622_M10"
"20200128_Plate1_5B","Z2622_F6","Z2622_M10"
"20200128_Plate1_5C","Z2622_F6","Z2622_M10"
"20200128_Plate1_5D","Z2622_F6","Z2622_M10"
"20200128_Plate1_5E","Z2622_F6","Z2622_M10"
"20200128_Plate1_5F","Z2622_F6","Z2622_M10"
"20200128_Plate1_5G","Z2622_F6","Z2622_M10"
"20200128_Plate1_5H","Z2622_F6","Z2622_M10"
"20200128_Plate1_6A","Z2622_F6","Z2622_M10"
"20200128_Plate1_6B","Z2622_F6","Z2622_M10"
"20200128_Plate1_6C","Z2622_F10","Z2622_M14a"
"20200128_Plate1_6D","Z2622_F10","Z2622_M14a"
"20200128_Plate1_6E","Z2622_F10","Z2622_M14a"
"20200128_Plate1_6F","Z2622_F10","Z2622_M14a"
"20200128_Plate1_6G","Z2622_F10","Z2622_M14a"
"20200128_Plate1_6H","Z2622_F10","Z2622_M14a"
"20200128_Plate1_7A","Z2622_F10","Z2622_M14a"
"20200128_Plate1_7B","Z2622_F10","Z2622_M14a"
"20200128_Plate1_7C","Z2622_F10","Z2622_M14a"
"20200128_Plate1_7D","Z2622_F10","Z2622_M14a"
"20200128_Plate1_7E","Z2622_F11","Z2622_M15"
"20200128_Plate1_7F","Z2622_F11","Z2622_M15"
"20200128_Plate1_7G","Z2622_F11","Z2622_M15"
"20200128_Plate1_7H","Z2622_F11","Z2622_M15"
"20200128_Plate1_8A","Z2622_F11","Z2622_M15"
"20200128_Plate1_8B","Z2622_F11","Z2622_M15"
"20200128_Plate1_8C","Z2622_F11","Z2622_M15"
"20200128_Plate1_8D","Z2622_F11","Z2622_M15"
"20200128_Plate1_8E","Z2622_F11","Z2622_M15"
"20200128_Plate1_8F","Z2622_F11","Z2622_M15"
"20200128_Plate1_8G","Z2622_F11","Z2622_M15"
"20200128_Plate1_8H","Z2622_F11","Z2622_M15"
"20200128_Plate1_9A","Z2622_F12","Z2622_M16"
"20200128_Plate1_9B","Z2622_F12","Z2622_M16"
"20200128_Plate1_9C","Z2622_F12","Z2622_M16"
"20200128_Plate1_9D","Z2622_F12","Z2622_M16"
"20200128_Plate1_9E","Z2622_F12","Z2622_M16"
"20200128_Plate1_9F","Z2622_F12","Z2622_M16"
"20200128_Plate1_9G","Z2622_F12","Z2622_M16"
"20200128_Plate1_9H","Z2622_F12","Z2622_M16"
"20200128_Plate1_10A","Z2622_F12","Z2622_M16"
"20200128_Plate1_10B","Z2622_F12","Z2622_M16"
"20200128_Plate1_10C","Z2622_F13","Z2622_M17"
"20200128_Plate1_10D","Z2622_F13","Z2622_M17"
